﻿Date,Settlement Date,Symbol,Sedol,Quantity,Price,Description,Reference,Debit,Credit,Running Balance
08/06/2026,08/06/2026,GCP,B6173J1,n/a,n/a,Div 40468   GCP INFRASTRUCTURE INVESTMENTS LTD   ORD GBP0.01,n/a,n/a,"£708.19","£53,452.97"
29/05/2026,29/05/2026,UKW,B8SC6K5,n/a,n/a,Div 44226 GREENCOAT UK WIND PLC   ORD GBP0.01,n/a,n/a,"£1,185.25","£1,897.99"
31/03/2026,31/03/2026,HICL,BJLP1Y7,n/a,n/a,Div 50470   HICL INFRASTRUCTURE PLC   ORD GBP0.0001,n/a,n/a,£643.44,"£10,693.87"
31/03/2026,31/03/2026,HICL,BJLP1Y7,n/a,n/a,Div 50470   HICL INFRASTRUCTURE PLC   ORD GBP0.0001,n/a,n/a,£411.38,"£10,050.43"
31/03/2026,31/03/2026,NESF,BJ0JVY0,n/a,n/a,Div 38975   NEXTENERGY SOLAR FUND LTD   RED ORD NPV,n/a,n/a,£822.37,"£9,639.05"
31/03/2026,31/03/2026,TRIG,BBHX2H9,n/a,n/a,Div 29189   THE RENEWABLES INFRASTRUCTURE GRP   ORD NPV,n/a,n/a,£550.94,"£8,816.68"
27/03/2026,27/03/2026,FGEN,BJL5FH8,n/a,n/a,Div 55547   FORESIGHT ENVIRONMENTAL INFRASTRUCT  ORD NPV,n/a,n/a,"£1,105.38","£8,265.74"
23/03/2026,25/03/2026,BSIF,BB0RDB9,39839,£0.83099,39839 BLUD SOLA  Del     .83 S Date 25/03/26,27726WKTHLM,n/a,"£33,100.72","£61,569.70"
13/03/2026,13/03/2026,GCP,B6173J1,n/a,n/a,Div 40468   GCP INFRASTRUCTURE INVESTMENTS LTD   ORD GBP0.01,n/a,n/a,£708.19,"£28,468.98"
11/03/2026,13/03/2026,NESF,BJ0JVY0,20538,£0.48668,20538 NEXY SOLA  Del     .48 S Date 13/03/26,27726WJXCDD,"£9,999.77",n/a,"£27,760.79"
11/03/2026,13/03/2026,NESF,BJ0JVY0,21221,£0.4712,21221 NEXY SOLA  Del     .47 S Date 13/03/26,27726WJW848,"£9,999.70",n/a,"£37,760.56"
09/03/2026,11/03/2026,NESF,BJ0JVY0,37285,£0.53625,37285 NEXY SOLA  Del     .53 S Date 11/03/26,27726WJPKQ6,"£19,999.68",n/a,"£47,760.26"
09/03/2026,11/03/2026,TRIG,BBHX2H9,14634,£0.68303,14634 THE RENE  Del     .68 S Date 11/03/26,27726WJPKNX,"£9,999.60",n/a,"£67,759.94"
06/03/2026,06/03/2026,BSIF,BB0RDB9,n/a,n/a,Div 26507   BLUEFIELD SOLAR INCOME FUND LTD   ORD NPV,n/a,n/a,£596.40,"£77,759.54"
05/03/2026,09/03/2026,TRIG,BBHX2H9,14467,£0.69092,14467 THE RENE  Del     .69 S Date 09/03/26,27726WJJKM2,"£9,999.76",n/a,"£77,163.14"
27/02/2026,27/02/2026,UKW,B8SC6K5,n/a,n/a,Div 44226   GREENCOAT UK WIND PLC   ORD GBP0.01,n/a,n/a,"£1,145.45","£1,356.60"
09/02/2026,11/02/2026,GCP,B6173J1,14308,£0.76841,14308 GCP INFR  Del     .76 S Date 11/02/26,27726WF7ZWF,"£10,999.90",n/a,£167.76
09/02/2026,11/02/2026,FGEN,BJL5FH8,55547,£0.72,55547 FORT ENVINPV  Del     .72 S Date 11/02/26,27726WF7ZNQ,"£39,999.33",n/a,"£11,167.66"
09/02/2026,11/02/2026,BSIF,BB0RDB9,13332,£0.74974,13332 BLUD SOLA  Del     .75 S Date 11/02/26,27726WF7ZBK,"£9,999.74",n/a,"£51,166.99"
06/02/2026,10/02/2026,UKW,B8SC6K5,20213,£0.98424,20213 GRET UK  Del     .98 S Date 10/02/26,27726WF2X9P,"£19,999.61",n/a,"£61,166.73"
06/02/2026,10/02/2026,GCP,B6173J1,26160,£0.76429,26160 GCP INFR  Del     .76 S Date 10/02/26,27726WF24FC,"£19,999.58",n/a,"£81,166.34"
04/02/2026,06/02/2026,HICL,BJLP1Y7,33551,£1.1861,33551 HICL INFR  Del    1.18 S Date 06/02/26,27726WFTJKZ,"£39,999.30",n/a,"£101,165.92"
04/02/2026,06/02/2026,TRIG,BBHX2H9,29189,£0.68499,29189 THE RENE  Del     .68 S Date 06/02/26,27726WFTJHQ,"£19,999.96",n/a,"£141,165.22"
04/02/2026,06/02/2026,HICL,BJLP1Y7,16919,£1.17587,16919 HICL INFR  Del    1.17 S Date 06/02/26,27726WFQZ28,"£19,999.67",n/a,"£94,198.30"
03/02/2026,05/02/2026,NESF,BJ0JVY0,38975,£0.51299,38975 NEXY SOLA  Del     .51 S Date 05/02/26,27726WFH6FN,"£19,999.67",n/a,"£20,003.99"
03/02/2026,05/02/2026,BSIF,BB0RDB9,26507,£0.7543,26507 BLUD SOLA  Del     .75 S Date 05/02/26,27726WFG6F6,"£19,999.72",n/a,"£40,003.66"
02/02/2026,04/02/2026,UKW,B8SC6K5,24013,£0.9819,24013 GRET UK  Del     .98 S Date 04/02/26,27726WFCLX4,"£23,699.63",n/a,"£60,003.38"
